model,task,sampling_method,base_diversity,method_diversity,delta_from_base
GPT-5.4-Mini,add_lemon_to_fish,structured_random,0.065181,0.081749,0.016568
GPT-5.4-Mini,add_sugar_cubes,structured_random,0.058183,0.064069,0.005885
GPT-5.4-Mini,alcohol_serving_prep,structured_random,0.058408,0.085176,0.026768
GPT-5.4-Mini,align_silverware,structured_random,0.064981,0.089377,0.024396
GPT-5.4-Mini,arrange_bread_bowl,structured_random,0.069066,0.072606,0.003539
GPT-5.4-Mini,arrange_drinkware,structured_random,0.056321,0.078444,0.022122
GPT-5.4-Mini,arrange_tea,structured_random,0.051507,0.059846,0.008339
GPT-5.4-Mini,beverage_organization,structured_random,0.064145,0.085645,0.021500
GPT-5.4-Mini,bowl_and_cup,structured_random,0.051652,0.092802,0.041150
GPT-5.4-Mini,candle_cleanup,structured_random,0.101888,0.144573,0.042684
GPT-5.4-Mini,cheese_mixing,structured_random,0.054180,0.073859,0.019679
GPT-5.4-Mini,cluster_items_for_clearing,structured_random,0.090594,0.124081,0.033487
GPT-5.4-Mini,colorful_salsa,structured_random,0.101026,0.107035,0.006008
GPT-5.4-Mini,condiment_collection,structured_random,0.065277,0.102193,0.036916
GPT-5.4-Mini,cut_buffet_pizza,structured_random,0.058616,0.080030,0.021413
GPT-5.4-Mini,date_night,structured_random,0.059201,0.088776,0.029574
GPT-5.4-Mini,deliver_straw,structured_random,0.052474,0.085785,0.033311
GPT-5.4-Mini,dessert_assembly,structured_random,0.058684,0.045015,-0.013669
GPT-5.4-Mini,display_meat_variety,structured_random,0.082165,0.145678,0.063513
GPT-5.4-Mini,distribute_chicken,structured_random,0.072705,0.084302,0.011597
GPT-5.4-Mini,garnish_cake,structured_random,0.061593,0.091141,0.029548
GPT-5.4-Mini,garnish_cupcake,structured_random,0.060681,0.076947,0.016267
GPT-5.4-Mini,garnish_pancake,structured_random,0.070471,0.080574,0.010104
GPT-5.4-Mini,gather_marinade_ingredients,structured_random,0.067546,0.080444,0.012898
GPT-5.4-Mini,hot_dog_setup,structured_random,0.050434,0.074591,0.024157
GPT-5.4-Mini,lemon_seasoning_fish,structured_random,0.050399,0.080860,0.030462
GPT-5.4-Mini,line_up_condiments,structured_random,0.068917,0.079247,0.010330
GPT-5.4-Mini,match_cup_and_drink,structured_random,0.054749,0.066765,0.012016
GPT-5.4-Mini,meat_skewer_assembly,structured_random,0.067895,0.085757,0.017862
GPT-5.4-Mini,organize_condiments,structured_random,0.082626,0.122944,0.040318
GPT-5.4-Mini,plate_store_dinner,structured_random,0.090574,0.096910,0.006336
GPT-5.4-Mini,portion_hot_dogs,structured_random,0.078237,0.098045,0.019808
GPT-5.4-Mini,portion_yogurt,structured_random,0.065139,0.109840,0.044701
GPT-5.4-Mini,prepare_cheese_station,structured_random,0.047619,0.069318,0.021700
